track_name,artists,track_id
In the Blood,['John Mayer'],77Y57qRJBvkGCUw9qs0qMg
Running Up That Hill (A Deal With God),['Kate Bush'],1TOme860eWLYhQCkSPpXmE
Omarm,['BLØF'],0sC7iL2mW9W2q5czQcm2XH
Solsbury Hill,['Peter Gabriel'],6vZZtivPrtpggT5SSXsYTy
Iris,['The Goo Goo Dolls'],6vrUTGn5p8IrfTZ0J6sIVM
Sara,['Fleetwood Mac'],0q1exbzIDRxqJ6VUKH3seg
Barcelona,"['Freddie Mercury', 'Montserrat Caballé']",3BdId1EhcMX7yAzwzQJLAD
Earth Song,['Michael Jackson'],4GCGH6TJ69neckwITeBFXK
Clocks,['Coldplay'],0BCPKOYdS2jbQ8iyB56Zns
Chasing Cars,['Snow Patrol'],5hnyJvgoWiQUYZttV4wXy6
School,['Supertramp'],6fnachl7fIn5dqIjakfJ57
Viva La Vida,['Coldplay'],3Fcfwhm8oRrBvBZ8KGhtea
In The Air Tonight - 2015 Remastered,['Phil Collins'],18AXbzPzBS8Y3AkgSxzJPb
Don't Go - 2008 Remaster,['Yazoo'],2pNrFj3AYoCU1uQTvJmtw3
Johnny And Mary,['Robert Palmer'],3VHFkxbekZQF7xLRd7KjgL
Tinseltown in the Rain,['The Blue Nile'],5agxCIWiABK6l4ltmCAHoH
Play Dead,"['Björk', 'David Arnold']",6m1gsuDTpeWfiQqB8BQAur
Prayer for the Dying,['Seal'],7pzWp50ZQXM44dfDbyMY9l
Sledgehammer,['Peter Gabriel'],029NqmIySn1kOY305AAhxT
Woman In Chains,"['Tears For Fears', 'Oleta Adams']",5jmwL2MniQj9ldptIm1h1B
Big Love - 2017 Remaster,['Fleetwood Mac'],0hOA8SoraNo2ZP1amtVYnY
Future Love Paradise,['Seal'],6POLaU4vAkv44LVp3Roz4L
Duel,['Propaganda'],4M2tEAdFRdg0U8rAgYa8o2
Break It Down Again,['Tears For Fears'],15kc3DJyYixeEEq5kRRrOm
The Way It Is,"['Bruce Hornsby', 'The Range']",6V50MyHPGhEmwYu0Wdyf0t
p:Machinery,['Propaganda'],6C2aFPWgwa2nWFysMMadKi
What About Us,['P!nk'],0Qh38w01QRXK6KHIv0e3hb
Shout,['Tears For Fears'],0f798jZ9aYI34zo4lchKd0
Speed of Sound,['Coldplay'],7clUVcSOtkNWa58Gw5RfD4
Don't You Worry 'Bout A Thing,['Incognito'],7KDCuqrHJ66MGogGrdFj4e
Iron Sky,['Paolo Nutini'],2bcC9Xyi40wnI7Od5uch31
Everywhere - 2017 Remaster,['Fleetwood Mac'],254bXAqt3zP6P50BdQvEsq
Don't Give Up,['Peter Gabriel'],2t77hjgJY4sC9DoX5uaVUD
The Logical Song - Remastered 2010,['Supertramp'],6mHOcVtsHLMuesJkswc0GZ
Stop Loving You,['TOTO'],73bzcsDjx9FqzqKWcPLMiH
Dirty Diana,['Michael Jackson'],6JZYMxvcoeLD4IifJPvDux
Rhiannon,['Fleetwood Mac'],05oETzWbd4SI33qK2gbJfR
The Boys Of Summer,['Don Henley'],4gvea7UlDkAvsJBPZAd4oB
Owner of a Lonely Heart,['Yes'],0GTK6TesV108Jj5D3MHsYb
Situation - 2008 Remastered Version,['Yazoo'],0Az5nx6qYZ2n54rh1sgvcB
Personal Jesus - Single Version,['Depeche Mode'],4UCTgh5jvtqoaMX6MAhUNn
Listen to the Music,['The Doobie Brothers'],7Ar4G7Ci11gpt6sfH9Cgz5
Adore You,['Harry Styles'],3jjujdWJ72nww5eGnfs2E7
Rosanna,['TOTO'],37BTh5g05cxBIRYMbw8g2T
Broken Wings,['Mr. Mister'],63nVsCAdxu9OdeRhe58wiE
Sowing The Seeds Of Love,['Tears For Fears'],0PbAyLrJRDxckQBLQ2Addc
Just Say Yes,['Snow Patrol'],4k7P2LIQco8YCVbIZl1vZB
